Rank,Channel Info,Influence Score,Followers,Avg. Likes,Posts,60-Day Eng Rate,New Post Avg. Likes,Total Likes,Country Or Region
40,"
snoopdogg",86,76.7m,211.4k,10.0k,0.004,278.0k,2.1b,
41,"
Shakira",88,76.2m,976.1k,2.0k,0.004,281.8k,1.9b,
42,"
gigihadid",85,75.9m,2.4m,3.3k,0.015,1.1m,7.9b,United States
43,"
davidbeckham",86,75.4m,1.2m,1.6k,0.007,517.7k,1.9b,United States
44,"
shraddhakapoor",81,75.2m,1.6m,1.9k,0.016,1.2m,3.0b,
45,"
victoriassecret",88,73.4m,144.8k,3.0k,0,25.9k,432.0m,United States
46,"
k.mbappe",86,72.7m,2.4m,1.2k,0.018,1.3m,2.8b,
47,"
nehakakkar",84,71.4m,1.5m,2.3k,0.008,585.9k,3.4b,India
48,"
aliaabhatt",82,71.2m,1.8m,1.9k,0.017,1.2m,3.3b,India
49,"
nba",87,71.1m,368.0k,12.8k,0.003,216.2k,4.7b,United States
50,"
jennierubyjane",76,70.5m,5.2m,887,0.078,5.4m,4.6b,
51,"
shawnmendes",83,70.5m,3.5m,2.5k,0.025,1.8m,8.8b,Canada
52,"
narendramodi",85,70.2m,3.0m,549,0.037,2.6m,1.6b,India
53,"
deepikapadukone",83,69.3m,1.5m,285,0.009,616.3k,434.6m,India
54,"
ronaldinho",78,68.1m,868.9k,3.0k,0.007,480.1k,2.6b,Brazil
55,"
tomholland2013",77,68.1m,5.4m,1.2k,0.117,7.9m,6.6b,
56,"
bts.bighitofficial",78,68.1m,4.1m,1.2k,0.041,2.8m,5.0b,Uruguay
57,"
emmawatson",87,67.9m,1.6m,379,0.007,467.8k,622.7m,United States
58,"
katrinakaif",85,67.5m,1.7m,1.0k,0.024,1.6m,1.8b,India
59,"
marvel",82,66.6m,330.5k,7.2k,0.004,289.7k,2.4b,Turkey
60,"
justintimberlake",87,66.5m,602.0k,785,0.013,842.9k,472.6m,United States
61,"
camila_cabello",77,65.4m,1.8m,2.9k,0.014,926.8k,5.4b,United States
62,"
sooyaaa__",82,64.7m,4.7m,876,0.076,4.9m,4.1b,
63,"
raffinagita1717",83,64.4m,386.2k,9.8k,0.004,262.8k,3.8b,Indonesia
64,"
jacquelinef143",85,63.6m,1.1m,2.4k,0.007,413.8k,2.8b,India
65,"
roses_are_rosie",82,63.5m,4.7m,854,0.073,4.6m,4.0b,
66,"
akshaykumar",85,63.5m,1.5m,1.9k,0.01,631.4k,2.8b,
67,"
willsmith",82,63.4m,1.4m,1.4k,0.016,1.0m,1.9b,United States
68,"
anitta",82,63.3m,857.7k,5.1k,0.01,595.7k,4.4b,United States
69,"
maluma",84,62.9m,1.2m,8.2k,0.01,604.2k,9.7b,Colombia
70,"
psg",86,62.7m,499.4k,10.1k,0.006,347.8k,5.1b,France
71,"
manchesterunited",85,60.8m,390.0k,9.8k,0.008,467.5k,3.8b,United Kingdom
72,"
anushkasharma",85,60.4m,1.9m,1.2k,0.027,1.7m,2.3b,
73,"
marcelotwelve",86,59.0m,694.7k,2.7k,0.011,665.5k,1.9b,Brazil
74,"
whinderssonnunes",79,58.8m,1.6m,2.8k,0.009,505.9k,4.4b,Brazil
75,"
milliebobbybrown",80,58.6m,4.1m,290,0.082,4.8m,1.2b,United States
76,"
karimbenzema",42,58.3m,863.1k,2.0k,0.017,989.2k,1.8b,Spain
77,"
gag",86,58.0m,662.0k,10.0k,0.005,268.4k,6.6b,United States
78,"
karolg",83,56.8m,3.1m,3.3k,0.09,5.1m,10.3b,India
79,"
chrishemsworth",86,56.0m,2.6m,899,0.023,1.3m,2.3b,Australia
80,"
iamzlatanibrahimovic",86,55.8m,1.5m,881,0.01,552.9k,1.3b,
81,"
paulpogba",80,55.5m,1.4m,1.3k,0.01,553.7k,1.8b,France
82,"
zacefron",86,55.2m,2.3m,669,0.031,1.7m,1.5b,United States
83,"
juventus",87,55.1m,194.0k,9.9k,0.003,150.4k,1.9b,
84,"
bellahadid",79,55.1m,1.2m,3.2k,0.02,1.1m,3.7b,United Kingdom
85,"
leonardodicaprio",86,55.1m,396.6k,1.7k,0.005,283.7k,675.9m,
86,"
beingsalmankhan",76,54.5m,1.4m,1.2k,0.02,1.1m,1.7b,India
87,"
tatawerneck",86,54.3m,958.9k,5.6k,0.01,515.3k,5.4b,Brazil
88,"
sunnyleone",84,54.1m,748.2k,4.7k,0.006,330.8k,3.5b,
89,"
dishapatani",74,53.7m,1.6m,2.2k,0.015,783.6k,3.4b,United States
90,"
sergioramos",87,53.5m,983.7k,2.3k,0.012,652.7k,2.2b,
91,"
ladygaga",83,53.3m,1.4m,3.6k,0.011,586.8k,5.0b,United States
92,"
robertdowneyjr",86,53.3m,2.8m,439,0.014,720.1k,1.2b,United States
93,"
mosalah",22,52.9m,1.8m,849,0.013,686.1k,1.5b,
94,"
jbalvin",87,52.9m,858.9k,10.0k,0.008,410.8k,8.6b,
95,"
ayutingting92",85,52.9m,144.9k,10.0k,0.001,47.7k,1.5b,Indonesia
96,433,79,51.9m,872.5k,10.4k,0.016,826.2k,9.0b,Netherlands
97,"
thv",83,51.7m,15.4m,69,0.25,12.9m,1.1b,
98,"
hudabeauty",82,51.2m,180.9k,2.4k,0.001,40.9k,442.2m,United States
99,"
michelleobama",85,51.1m,685.2k,620,0.004,212.8k,424.8m,
100,"
kritisanon",76,51.0m,891.5k,2.7k,0.011,539.1k,2.4b,India
101,"
adele",84,50.9m,4.7m,423,0.031,1.6m,2.0b,United States
102,"
krisjenner",80,50.3m,351.2k,6.4k,0.005,267.4k,2.3b,United States
103,"
jamesrodriguez10",86,50.0m,1.4m,1.1k,0.011,545.6k,1.5b,Colombia
104,"
blackpinkofficial",85,49.9m,2.1m,1.6k,0.027,1.4m,3.3b,
105,"
lelepons",81,49.7m,2.4m,2.5k,0.031,1.5m,6.1b,United States
106,"
prillylatuconsina96",84,49.6m,369.6k,6.5k,0.003,159.3k,2.4b,Indonesia
107,"
charlidamelio",80,49.2m,4.2m,179,0.028,1.4m,753.9m,
108,"
gucci",86,49.1m,115.1k,9.0k,0.001,72.4k,1.0b,Italy
109,"
paulodybala",85,49.0m,1.8m,1.3k,0.021,1.0m,2.3b,
110,"
louisvuitton",82,48.9m,127.5k,6.6k,0.001,40.5k,837.1m,France
111,"
dovecameron",85,48.6m,1.6m,207,0.021,1.0m,327.2m,United States
112,"
jokowi",85,48.5m,445.7k,3.7k,0.004,199.8k,1.6b,
113,"
haileybieber",85,48.3m,2.0m,2.1k,0.036,1.7m,4.2b,
114,"
nusr_et",81,48.2m,696.6k,2.4k,0.005,219.3k,1.6b,United Arab Emirates
115,"
garethbale",86,48.1m,758.3k,989,0.007,328.8k,750.0m,
116,"
harrystyles",57,47.6m,4.7m,618,0.064,2.9m,2.9b,United States
117,"
vanessahudgens",84,47.4m,629.1k,4.2k,0.006,291.4k,2.7b,United States
118,"
larissamanoela",85,47.3m,575.0k,5.3k,0.005,252.5k,3.0b,Brazil
119,"
zayn",82,47.3m,4.7m,165,0.085,3.9m,783.5m,United States
120,"
travisscott",78,46.5m,3.0m,3.2k,0.057,2.6m,9.6b,United States
121,"
stephencurry30",84,46.4m,1.1m,1.1k,0.011,511.4k,1.2b,
122,"
5-Minute Crafts GIRLY",85,46.2m,155.4k,10.0k,0.001,60.4k,1.6b,United States
123,"
thenotoriousmma",82,46.2m,1.1m,3.2k,0.006,287.4k,3.5b,United States
124,"
daddyyankee",80,46.1m,650.0k,35,0.008,346.9k,22.8m,Puerto Rico
125,"
natgeotravel",82,45.8m,189.9k,16.9k,0.001,52.8k,3.2b,United States
126,"
vancityreynolds",86,45.6m,1.2m,695,0.028,1.3m,861.0m,
127,"
nikefootball",85,45.4m,411.6k,1.8k,0.003,137.4k,756.6m,United States
128,"
maisa",42,45.1m,550.6k,1.5k,0.005,217.2k,829.8m,Brazil
129,"
jannatzubair29",84,44.6m,1.3m,1.7k,0.016,693.7k,2.2b,
130,"
luissuarez9",85,44.4m,801.8k,992,0.01,414.8k,795.4m,
131,"
varundvn",84,44.4m,1.1m,1.9k,0.013,586.2k,2.0b,India
132,"
j.m",83,44.2m,14.4m,28,0.228,10.0m,402.1m,
133,"
hrithikroshan",85,44.2m,1.6m,617,0.018,780.5k,958.9m,C̫te d'Ivoire
134,"
gusttavolima",76,44.1m,475.1k,4.9k,0.007,303.9k,2.3b,Brazil
135,"
theweeknd",83,43.8m,1.1m,735,0.04,1.6m,839.0m,
136,"
nickyjampr",81,43.5m,379.1k,10.0k,0.003,129.1k,3.8b,Colombia
137,"
buzzfeedtasty",85,43.5m,63.5k,9.3k,0.001,23.6k,590.9m,Spain
138,"
brunamarquezine",84,43.4m,943.5k,3.0k,0.009,363.1k,2.9b,United States
139,"
badbunnypr",83,43.4m,3.7m,20,0.131,5.5m,75.0m,
140,"
kapilsharma",83,43.1m,736.3k,1.0k,0.015,625.4k,745.9m,
141,"
caradelevingne",86,42.9m,790.7k,3.7k,0.008,362.2k,3.0b,United States
142,"
norafatehi",83,42.5m,1.4m,1.7k,0.018,727.5k,2.4b,Anguilla
143,"
britneyspears",80,42.1m,511.2k,3.1k,0.007,285.9k,1.6b,Turkey
144,"
mariliamendoncacantora",73,41.8m,1.0m,1.5k,0.02,817.9k,1.5b,Brazil
145,"
dior",85,41.8m,86.6k,9.9k,0.001,54.1k,854.9m,
146,"
cznburak",80,41.4m,837.9k,1.8k,0.011,411.1k,1.5b,
147,"
ranveersingh",85,41.4m,986.9k,1.8k,0.016,641.0k,1.8b,Switzerland
148,"
marinaruybarbosa",81,41.1m,582.5k,2.1k,0.002,69.4k,1.2b,Brazil
149,"
jenniferaniston",85,40.8m,4.3m,104,0.024,949.1k,446.5m,
150,"
ruben_onsu",75,40.7m,135.8k,10.0k,0.001,35.9k,1.4b,Indonesia
151,"
liverpoolfc",75,40.6m,339.7k,9.9k,0.005,204.4k,3.4b,United Kingdom
152,"
teddysphotos",80,40.6m,710.7k,2.3k,0.005,185.5k,1.7b,United States
153,"
princessyahrini",81,40.5m,118.6k,4.5k,0.004,181.0k,535.5m,Indonesia
154,"
andresiniesta8",85,40.3m,250.8k,2.0k,0.004,161.7k,508.8m,Spain
155,"
addisonraee",85,39.8m,3.1m,328,0.022,851.5k,1.0b,
156,"
natashawilona12",84,39.7m,483.6k,1.2k,0.005,175.3k,568.2m,
157,"
mahi7781",58,39.5m,4.1m,107,0.002,0,444.0m,
158,"
chrissyteigen",79,39.4m,623.1k,5.1k,0.004,162.1k,3.2b,United States
159,"
worldstar",78,39.2m,157.4k,11.6k,0.002,84.4k,1.8b,United States
160,"
georginagio",74,39.2m,2.2m,751,0.086,3.3m,1.7b,
161,"
wizkhalifa",80,39.1m,398.7k,514,0.003,115.7k,204.9m,United States
162,"
prattprattpratt",84,39.0m,813.5k,742,0.01,363.8k,603.6m,
163,anushkasen0408,85,38.9m,687.3k,5.4k,0.013,483.8k,3.7b,
164,"
hm",83,38.5m,86.4k,7.4k,0,17.5k,637.0m,Sweden
165,"
marvelstudios",83,38.4m,594.2k,2.8k,0.016,555.9k,1.7b,
166,"
rkive",83,38.4m,10.6m,115,0.171,6.5m,1.2b,
167,"
parineetichopra",84,38.3m,504.8k,1.3k,0.011,431.8k,671.9m,
168,"
wesleysafadao",80,37.8m,250.9k,8.9k,0.002,77.8k,2.2b,
169,"
laudyacynthiabella",76,37.3m,154.6k,397,0.001,46.4k,61.4m,Indonesia
170,"
gisel_la",85,36.8m,149.1k,9.9k,0.001,33.4k,1.5b,
171,"
antogriezmann",83,36.7m,1.1m,890,0.005,193.6k,936.6m,France
172,"
eminem",84,36.6m,988.4k,691,0.011,382.5k,683.0m,United States
173,"
mercedesbenz",77,36.2m,197.9k,10.0k,0.002,64.6k,2.0b,British Virgin Islands
174,"
sachintendulkar",76,36.1m,800.4k,1.0k,0.02,664.5k,829.2m,
175,"
nattinatasha",47,36.1m,513.2k,59,0.006,201.6k,30.3m,Czech Republic
176,"
kimberly.loaiza",78,36.0m,2.6m,549,0.043,1.5m,1.4b,Mexico
177,"
shahidkapoor",82,36.0m,1.3m,1.2k,0.025,780.0k,1.5b,
178,"
tigerjackieshroff",83,36.0m,1.0m,2.1k,0.01,345.3k,2.2b,India
179,"
blakelively",80,35.9m,3.1m,120,0.04,1.4m,366.1m,United States
180,"
colesprouse",81,35.8m,2.2m,1.2k,0.023,834.5k,2.6b,
181,"
simonemendes",72,35.7m,419.7k,4.4k,0.006,216.6k,1.9b,Brazil
182,"
toni.krs",83,35.6m,597.8k,946,0.012,432.5k,565.5m,
183,"
lunamaya",83,35.4m,145.4k,4.1k,0.002,58.6k,594.0m,
184,"
barackobama",81,35.4m,1.1m,682,0.012,411.5k,758.4m,United States
185,"
ivetesangalo",84,35.1m,226.4k,7.7k,0.004,121.1k,1.7b,Brazil
186,"
paollaoliveirareal",84,34.9m,352.0k,4.7k,0.004,132.9k,1.6b,
187,"
dannapaola",68,34.8m,1.5m,2.0k,0.035,1.2m,2.9b,Mexico
188,"
disney",77,34.7m,185.2k,7.5k,0.004,132.0k,1.4b,United States
189,"
shaymitchell",83,34.5m,715.4k,6.3k,0.006,198.7k,4.5b,United States
190,"
adidasoriginals",83,34.1m,136.2k,180,0.002,66.8k,24.5m,
191,"
zidane",41,34.0m,1.0m,377,0.017,578.4k,387.7m,France
192,"
bmw",79,33.8m,229.0k,9.4k,0.002,83.2k,2.2b,Germany
193,"
iambeckyg",71,33.8m,623.5k,2.3k,0.012,413.3k,1.4b,United States
194,"
rashmika_mandanna",84,33.8m,2.3m,525,0.044,1.5m,1.2b,
195,"
sonamkapoor",75,33.7m,265.3k,4.8k,0.008,256.2k,1.3b,India
196,"
khabib_nurmagomedov",63,33.6m,680.6k,4.6k,0.009,305.7k,3.1b,Russia
197,"
danbilzerian",84,33.6m,2.2m,1.4k,0.064,2.1m,3.0b,Canada
198,"
raisa6690",80,33.6m,227.8k,4.2k,0.003,103.2k,955.9m,Indonesia
199,"
luansantana",79,33.5m,193.3k,865,0.003,82.6k,167.2m,Brazil
200,"
nancyajram",81,33.4m,382.5k,3.8k,0.004,128.2k,1.5b,France
